geo_pict,country,sea_level_anomaly_m_trend,sea_level_anomaly_m_n,temp_anomaly_c_trend,temp_anomaly_c_n,rainfall_anomaly_mm_trend,rainfall_anomaly_mm_n,population_growth_pct_trend,population_growth_pct_n,temp_anomaly_c_avg_magnitude,rainfall_anomaly_mm_avg_magnitude,tourism_latest_year,tourist_arrivals,median_rate_m_per_yr,pct_eroding,population_year,population_total,tourism_per_capita,economic_score,physical_sea_level_score,physical_temp_score,physical_rainfall_score,population_score,physical_coastline_score,physical_erosion_share_score,physical_score,climate_risk_index,contribution_physical_pct,contribution_population_pct,contribution_economic_pct
FJ,Fiji,0.0041532258064516,31,0.023075933075933,36,0.0961493987049028,47,-0.0273822393822393,36,0.3972222222222222,9.731914893617022,2024.0,928938.0,0.006,0.4920403060087643,2025,933154.0,99.54819890393225,100.0,40.0,80.0,40.0,40.0,60.0,60.0,56.0,63.0,44.44444444444444,15.873015873015872,39.682539682539684
KI,Kiribati,0.0039112903225806,31,0.002046332046332,36,-0.22700046253469,47,-0.014033462033462,36,0.4972222222222222,16.42127659574468,2019.0,12000.0,-0.157,0.6410498858819693,2025,136488.0,8.791981712678037,25.0,20.0,100.0,100.0,60.0,100.0,100.0,84.0,63.25,66.40316205533597,23.715415019762844,9.881422924901186
WS,Samoa,0.004516129032258,31,0.0139639639639639,36,0.2408765032377427,47,0.0067927927927927,36,0.375,7.993617021276595,2022.0,50600.0,0.101,0.367224502683928,2025,219306.0,23.072784146352586,75.0,80.0,20.0,20.0,100.0,40.0,40.0,40.0,63.75,31.372549019607842,39.21568627450981,29.411764705882355
TV,Tuvalu,0.0043951612903225,31,0.0123166023166023,36,-0.2000462534690101,47,-0.0837554697554697,36,0.386111111111111,12.80425531914894,,,0.1985,0.3298357664233576,2025,9492.0,,,60.0,50.0,80.0,20.0,20.0,20.0,46.0,36.900000000000006,81.02981029810297,18.970189701897016,0.0
VU,Vanuatu,0.0045967741935483,31,0.0249549549549549,36,0.2669981498612395,47,-0.008020592020592,36,0.386111111111111,9.929787234042552,2022.0,65000.0,-0.013,0.514613561717873,2025,335169.0,19.39320163857636,50.0,100.0,50.0,60.0,80.0,80.0,80.0,74.0,69.5,53.23741007194245,28.776978417266186,17.985611510791365
