country,climate_risk_index,physical_score,population_score,economic_score,tourism_per_capita,contribution_physical_pct,contribution_population_pct,contribution_economic_pct
Vanuatu,69.5,74.0,80.0,50.0,19.39320163857636,53.23741007194245,28.776978417266186,17.985611510791365
Samoa,63.75,40.0,100.0,75.0,23.072784146352586,31.372549019607842,39.21568627450981,29.411764705882355
Kiribati,63.25,84.0,60.0,25.0,8.791981712678037,66.40316205533597,23.715415019762844,9.881422924901186
Fiji,63.0,56.0,40.0,100.0,99.54819890393225,44.44444444444444,15.873015873015872,39.682539682539684
Tuvalu,36.900000000000006,46.0,20.0,,,81.02981029810297,18.970189701897016,0.0
