geo_pict,median_rate_m_per_yr,pct_eroding,mean_rate_m_per_yr,n_points
FJI,0.006,0.4920403060087643,0.04623983890800756,121173
KIR,-0.157,0.6410498858819693,0.06456837300293447,30670
TUV,0.1985,0.32983576642335766,0.35592130474452555,4384
VUT,-0.013,0.514613561717873,0.09009745146135617,24053
WSM,0.101,0.36722450268392803,0.23722102936532996,9501
